Address,Date time,Minimum Temperature,Maximum Temperature,Temperature,Dew Point,Relative Humidity,Heat Index,Wind Speed,Wind Gust,Wind Direction,Wind Chill,Precipitation,Precipitation Cover,Snow Depth,Visibility,Cloud Cover,Sea Level Pressure,Weather Type,Latitude,Longitude,Resolved Address,Name,Info,Conditions
"San Francisco, CA, USA","2/3/2019",49.5,56,52.7,44.7,74.48,"null",30,40.3,208.33,42.9,0.47,50,"null",8.4,51.6,1003.4,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Rain, Partially cloudy"
"San Francisco, CA, USA","2/4/2019",41,50,45.3,35.9,69.8,"null",20.8,35.6,252.5,33.1,0.33,58.33,"null",9.2,56,1005.3,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Rain, Partially cloudy"
"San Francisco, CA, USA","2/5/2019",42.2,50,45.8,31.7,58.18,"null",15,"null",247.39,37.8,0,0,"null",9.9,21.5,1016.5,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Clear"
"San Francisco, CA, USA","2/6/2019",39.8,56,47.1,36.8,68.12,"null",13.9,31.1,136.67,37.8,0,0,"null",9.9,42.7,1023.4,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Partially cloudy"
"San Francisco, CA, USA","2/7/2019",44.1,53.1,48.4,37.1,65.39,"null",11.4,"null",128.33,39,0,0,"null",9.9,68.6,1022.5,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Partially cloudy"
"San Francisco, CA, USA","2/8/2019",43.1,52.1,47,40.5,78.29,"null",17.2,"null",143.22,40.7,0.5,25,"null",9.2,60.2,1014.3,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Rain, Partially cloudy"
"San Francisco, CA, USA","2/9/2019",41,55.1,48.5,40.7,74.88,"null",23,39.1,223.91,35.2,0.56,70.83,"null",8.1,54.6,1012.4,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Rain, Partially cloudy"
"San Francisco, CA, USA","2/10/2019",41,50,45.9,35.5,67.51,"null",24.2,29.9,226.67,37.9,0.01,4.17,"null",9.8,43.7,1019.9,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Rain, Partially cloudy"
"San Francisco, CA, USA","2/11/2019",41,52.1,45.9,37.3,72.45,"null",8.1,"null",110.42,37.9,0,0,"null",9.9,39.4,1021.2,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Partially cloudy"
"San Francisco, CA, USA","2/12/2019",45,54,50,39.5,67.62,"null",25.3,33.3,98.75,41.3,0.81,50,"null",8.1,64.6,1009.5,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Rain, Partially cloudy"
"San Francisco, CA, USA","2/13/2019",50,65,58.1,52.5,81.64,"null",41.4,62.2,151.67,42.7,1.27,83.33,"null",6.4,65,998.4,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Rain, Partially cloudy"
"San Francisco, CA, USA","2/14/2019",45,56,51.5,43.5,74.57,"null",26.4,34.4,233.75,40.1,0.74,45.83,"null",8.2,57.2,1007.3,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Rain, Partially cloudy"
"San Francisco, CA, USA","2/15/2019",45,53.1,48.5,39.7,71.86,"null",23,31.1,203.18,40.6,0.26,45.83,"null",8.9,52,1017.7,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Rain, Partially cloudy"
"San Francisco, CA, USA","2/16/2019",44.1,53.1,47.9,38.6,70.56,"null",27.7,41.4,263.33,37.7,0.23,20.83,"null",9.1,45.4,1019.8,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Rain, Partially cloudy"
"San Francisco, CA, USA","2/17/2019",38.9,54,46.6,34,61.66,"null",28.9,34.4,279.17,34.6,0,0,"null",9.9,21.5,1018.8,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Clear"
"San Francisco, CA, USA","2/18/2019",38,56,47.7,29.5,50.1,"null",18.3,"null",220.42,37.1,0,0,"null",9.9,6.8,1023.1,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Clear"
"San Francisco, CA, USA","2/19/2019",47.9,55.1,50.8,36.4,58.85,"null",23,33.1,243.75,43,0,0,"null",9.9,40.6,1020,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Partially cloudy"
"San Francisco, CA, USA","2/20/2019",43.1,56,48.8,36.5,62.48,"null",30,40.3,296.67,38.6,0,0,"null",9.9,37.9,1009.1,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Partially cloudy"
"San Francisco, CA, USA","2/21/2019",42.2,56,50.5,28.3,42.3,"null",27.7,33.3,291.25,41.1,0,0,"null",9.9,11.3,1011.7,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Clear"
"San Francisco, CA, USA","2/22/2019",41,55.1,47.7,32.1,57.43,"null",13.9,"null",159.17,36.4,0,0,"null",9.9,21.4,1022.2,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Clear"
"San Francisco, CA, USA","2/23/2019",44.1,55.1,50,40.5,70.31,"null",16.1,"null",182.08,41.5,0,0,"null",9.8,42.2,1025.7,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Partially cloudy"
"San Francisco, CA, USA","2/24/2019",50,56,52.2,41.9,68.33,"null",12.8,"null",165.83,45.9,0,0,"null",9.9,58.9,1019.5,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Partially cloudy"
"San Francisco, CA, USA","2/25/2019",52.1,56,55,46.2,72.37,"null",26.4,36.8,161.67,"null",0.22,33.33,"null",8.8,71.2,1013.9,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Rain, Partially cloudy"
"San Francisco, CA, USA","2/26/2019",52.1,56.9,55,48.9,79.97,"null",26.4,42.5,142.08,"null",0.8,66.67,"null",7,66.8,1011.3,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Rain, Partially cloudy"
"San Francisco, CA, USA","2/27/2019",48.8,59,52.5,47.2,82.48,"null",19.7,30.3,232.08,44.9,0.18,33.33,"null",7.7,61.5,1017.7,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Rain, Partially cloudy"
"San Francisco, CA, USA","2/28/2019",44.1,56,50,39.3,66.76,"null",15,"null",151.74,41.5,0,0,"null",9.8,58.6,1020.2,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Partially cloudy"
"San Francisco, CA, USA","3/1/2019",50,54,51.7,44.5,76.97,"null",12.8,"null",95,45.2,0.89,29.17,"null",7.7,69.2,1013.3,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Rain, Partially cloudy"
"San Francisco, CA, USA","3/2/2019",50,57.8,54.1,50.2,86.74,"null",10.3,"null",101.67,47.7,0.09,25,"null",5.2,64.3,1012.9,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Rain, Partially cloudy"
"San Francisco, CA, USA","3/3/2019",48.8,56.9,52.8,46.7,80.11,"null",16.1,"null",224.09,46.7,0.01,4.17,"null",9.5,55.3,1018.3,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Rain, Partially cloudy"
"San Francisco, CA, USA","3/4/2019",50,56,52,45.2,77.86,"null",10.3,"null",170,48.4,0.06,12.5,"null",9.4,59.5,1017,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Rain, Partially cloudy"
"San Francisco, CA, USA","3/5/2019",52.1,60.2,55.2,49.3,80.7,"null",25.3,37.9,127.92,"null",1.16,41.67,"null",7.9,49.3,1006.1,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Rain, Partially cloudy"
"San Francisco, CA, USA","3/6/2019",48.8,56,52.8,47.4,82.08,"null",24.2,39.1,220.87,46.3,0.24,50,"null",7.3,62.6,1011.1,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Rain, Partially cloudy"
"San Francisco, CA, USA","3/7/2019",47,54,49.8,38,63.9,"null",16.1,23,280.87,40.6,0,0,"null",9.6,55,1016,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Partially cloudy"
"San Francisco, CA, USA","3/8/2019",44.1,54,49.3,37.1,63.42,"null",20.8,27.7,219.17,37.9,0.02,12.5,"null",9.8,58.3,1017.2,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Rain, Partially cloudy"
"San Francisco, CA, USA","3/9/2019",46.1,56,49.4,41.8,75.63,"null",17.2,26.4,144.35,41.1,0.34,43.48,"null",8.6,56.9,1012.1,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Rain, Partially cloudy"
"San Francisco, CA, USA","3/10/2019",41,55.6,48.3,42.5,80.71,"null",12.8,"null",181.83,39.1,0.13,20.83,"null",9.5,32.4,1015.7,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Rain, Partially cloudy"
"San Francisco, CA, USA","3/11/2019",47.9,62.1,53.7,44.2,71.58,"null",25.3,31.1,227.92,42.6,0,0,"null",9.9,22,1015.4,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Clear"
"San Francisco, CA, USA","3/12/2019",44.1,57.8,51.3,38.9,62.82,"null",36.9,48.8,286.52,39,0,0,"null",9.7,21.9,1015.9,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Clear"
"San Francisco, CA, USA","3/13/2019",44.1,61.1,51.9,36,56.01,"null",19.7,24.2,232.08,41.1,0,0,"null",9.6,0,1023.1,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Clear"
"San Francisco, CA, USA","3/14/2019",45,65,53.9,39.7,62.2,"null",17.2,"null",210,43.6,0,0,"null",9.8,28,1024,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Partially cloudy"
"San Francisco, CA, USA","3/15/2019",47,66.8,54.7,41.9,63.59,"null",18.3,"null",178.75,44.9,0,0,"null",9.5,16.9,1021.4,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Clear"
"San Francisco, CA, USA","3/16/2019",47,66.8,55.6,44.6,68.72,"null",19.7,"null",179.58,44.2,0,0,"null",8.8,21.6,1019.7,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Clear"
"San Francisco, CA, USA","3/17/2019",52.1,70.1,58.4,48.1,69.59,"null",11.4,"null",112.08,"null",0,0,"null",9.7,56.9,1016.5,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Partially cloudy"
"San Francisco, CA, USA","3/18/2019",50,71.1,56.3,49.1,77.47,"null",17.2,"null",178.33,49.4,0,0,"null",8.9,37.1,1013.6,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Partially cloudy"
"San Francisco, CA, USA","3/19/2019",52.1,69.2,58.1,46,66.6,"null",23,32.7,120.43,"null",0.53,20.83,"null",8.3,62.8,1011.1,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Rain, Partially cloudy"
"San Francisco, CA, USA","3/20/2019",47,61.1,53.4,44.5,72.73,"null",16.1,"null",210.42,44.9,0.03,8.33,"null",9.3,50.7,1017.5,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Rain, Partially cloudy"
"San Francisco, CA, USA","3/21/2019",50,60.2,54,45.2,72.91,"null",19.7,"null",177.92,46.7,0.04,12.5,"null",9.6,42.2,1020.4,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Rain, Partially cloudy"
"San Francisco, CA, USA","3/22/2019",51.2,56,54.5,49.3,82.75,"null",13.9,21.9,157.92,"null",0.38,41.67,"null",8.2,72,1020.7,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Rain, Partially cloudy"
"San Francisco, CA, USA","3/23/2019",44.1,59,53,44,71.86,"null",19.7,24.2,233.48,40.7,0,0,"null",9,29.6,1022.8,"null",37.6561,-122.414,"San Francisco, CA, United States","San Francisco, CA, United States","null","Partially cloudy"
