date,city,temperature
2012-01-28,San Francisco,50.3
2012-01-28,Austin,52.9
2012-01-29,New York,40.1
2012-01-29,San Francisco,53.8
2012-01-29,Austin,44.4
2012-01-30,New York,38
2012-01-30,San Francisco,51.9
2012-01-30,Austin,49.1
2012-01-31,New York,43.5
2012-01-31,San Francisco,50
2012-01-31,Austin,62.8
2012-02-01,New York,50.4
2012-02-01,San Francisco,50
2012-02-01,Austin,64.6
2012-02-02,New York,45.8
2012-02-02,San Francisco,51.3
2012-02-02,Austin,61.1
2012-02-03,New York,37.5
2012-02-03,San Francisco,51.5
2012-02-03,Austin,70
2012-02-04,New York,40.8
2012-02-04,San Francisco,52
2012-02-04,Austin,61.3
2012-02-05,New York,36.5
2012-02-05,San Francisco,53.8
2012-02-05,Austin,48.2
2012-02-06,New York,39.1
2012-02-06,San Francisco,54.6
2012-02-06,Austin,44.2
2012-02-07,New York,43.2
2012-02-07,San Francisco,54.3
2012-02-07,Austin,51.3
2012-02-08,New York,36.5
2012-02-08,San Francisco,51.9
2012-02-08,Austin,49.2
2012-02-09,New York,36.5
2012-02-09,San Francisco,53.8
2012-02-09,Austin,45.7
2012-02-10,New York,38.3
2012-02-10,San Francisco,53.9
2012-02-10,Austin,54.1
2012-02-11,New York,36.9
2012-02-11,San Francisco,52.3
2012-02-11,Austin,44.9
2012-02-12,New York,29.7
2012-02-12,San Francisco,50.1
2012-02-12,Austin,36.5
2012-02-13,New York,33.1
2012-02-13,San Francisco,49.5
2012-02-13,Austin,44.8
2012-02-14,New York,39.6
2012-02-14,San Francisco,48.6
2012-02-14,Austin,52.3
2012-02-15,New York,42.3
2012-02-15,San Francisco,49.9
2012-02-15,Austin,68
2012-02-16,New York,39.7
2012-02-16,San Francisco,52.4
2012-02-16,Austin,54.6
2012-02-17,New York,46
2012-02-17,San Francisco,49.9
2012-02-17,Austin,53.8
2012-02-18,New York,41.2
2012-02-18,San Francisco,51.6
2012-02-18,Austin,56.2
2012-02-19,New York,39.8
2012-02-19,San Francisco,47.8
2012-02-19,Austin,50.8
2012-02-20,New York,38.1
2012-02-20,San Francisco,48.7
2012-02-20,Austin,53
2012-02-21,New York,37.1
2012-02-21,San Francisco,49.7
2012-02-21,Austin,61
2012-02-22,New York,45.5
2012-02-22,San Francisco,53.4
2012-02-22,Austin,68.8
2012-02-23,New York,50.6
2012-02-23,San Francisco,54.1
2012-02-23,Austin,69.4
2012-02-24,New York,42.7
2012-02-24,San Francisco,55.9
2012-02-24,Austin,59.3
2012-02-25,New York,42.6
2012-02-25,San Francisco,51.7
2012-02-25,Austin,47.2
2012-02-26,New York,36.9
2012-02-26,San Francisco,47.7
2012-02-26,Austin,47.7
2012-02-27,New York,40.9
2012-02-27,San Francisco,45.4
2012-02-27,Austin,61.9
2012-02-28,New York,45.9
2012-02-28,San Francisco,47
2012-02-28,Austin,67.2
2012-02-29,New York,40.7
2012-02-29,San Francisco,49.8
2012-02-29,Austin,70.1
2012-03-01,New York,41.3
2012-03-01,San Francisco,48.9
2012-03-01,Austin,62.1
2012-03-02,New York,36.8
2012-03-02,San Francisco,48.1
2012-03-02,Austin,72.7
2012-03-03,New York,47.6
2012-03-03,San Francisco,50.7
2012-03-03,Austin,59
2012-03-04,New York,44.2
2012-03-04,San Francisco,55
2012-03-04,Austin,51.8
2012-03-05,New York,38.5
2012-03-05,San Francisco,48.8
2012-03-05,Austin,55
2012-03-06,New York,32.9
2012-03-06,San Francisco,48.4
2012-03-06,Austin,61.8
2012-03-07,New York,43.3
2012-03-07,San Francisco,49.9
2012-03-07,Austin,67.1
2012-03-08,New York,51.2
2012-03-08,San Francisco,49.2
2012-03-08,Austin,72
2012-03-09,New York,47.8
2012-03-09,San Francisco,51.7
2012-03-09,Austin,46.4
2012-03-10,New York,37.2
2012-03-10,San Francisco,49.3
2012-03-10,Austin,46.7
2012-03-11,New York,42.9
2012-03-11,San Francisco,50
2012-03-11,Austin,56.9
2012-03-12,New York,48.8
2012-03-12,San Francisco,48.6
2012-03-12,Austin,61.9
2012-03-13,New York,52.6
2012-03-13,San Francisco,53.9
2012-03-13,Austin,68.8
2012-03-14,New York,60.5
2012-03-14,San Francisco,55.2
2012-03-14,Austin,71.9
2012-03-15,New York,47.2
2012-03-15,San Francisco,55.9
2012-03-15,Austin,72
2012-03-16,New York,44.7
2012-03-16,San Francisco,54.6
2012-03-16,Austin,72.5
2012-03-17,New York,48.2
2012-03-17,San Francisco,48.2
2012-03-17,Austin,71.7
2012-03-18,New York,48.2
2012-03-18,San Francisco,47.1
2012-03-18,Austin,71.1
2012-03-19,New York,53.1
2012-03-19,San Francisco,45.8
2012-03-19,Austin,73
2012-03-20,New York,57.8
2012-03-20,San Francisco,49.7
2012-03-20,Austin,63.8
2012-03-21,New York,57.5
2012-03-21,San Francisco,51.4
2012-03-21,Austin,60
2012-03-22,New York,57.3
2012-03-22,San Francisco,51.4
2012-03-22,Austin,62.3
2012-03-23,New York,61.7
2012-03-23,San Francisco,48.4
2012-03-23,Austin,61.1
2012-03-24,New York,55.8
2012-03-24,San Francisco,49
2012-03-24,Austin,62
2012-03-25,New York,48.4
2012-03-25,San Francisco,46.4
2012-03-25,Austin,64.6
2012-03-26,New York,49.8
2012-03-26,San Francisco,49.7
2012-03-26,Austin,66
2012-03-27,New York,39.6
2012-03-27,San Francisco,54.1
2012-03-27,Austin,65.8
2012-03-28,New York,49.7
2012-03-28,San Francisco,54.6
2012-03-28,Austin,69.2
2012-03-29,New York,56.8
2012-03-29,San Francisco,52.3
2012-03-29,Austin,69.5
2012-03-30,New York,46.5
2012-03-30,San Francisco,54.5
2012-03-30,Austin,73.5
2012-03-31,New York,42.2
2012-03-31,San Francisco,56.2
2012-03-31,Austin,73.9
2012-04-01,New York,45.3
2012-04-01,San Francisco,51.1
2012-04-01,Austin,75.3
2012-04-02,New York,48.1
2012-04-02,San Francisco,50.5
2012-04-02,Austin,75.4
2012-04-03,New York,51.2
2012-04-03,San Francisco,52.2
2012-04-03,Austin,77.3
2012-04-04,New York,61
2012-04-04,San Francisco,50.6
2012-04-04,Austin,67
2012-04-05,New York,50.7
2012-04-05,San Francisco,47.9
2012-04-05,Austin,71.1
2012-04-06,New York,48
2012-04-06,San Francisco,47.4
2012-04-06,Austin,70.4
2012-04-07,New York,51.1
2012-04-07,San Francisco,49.4
2012-04-07,Austin,73.6
2012-04-08,New York,55.7
2012-04-08,San Francisco,50
2012-04-08,Austin,71.1
2012-04-09,New York,58.3
2012-04-09,San Francisco,51.3
2012-04-09,Austin,70
2012-04-10,New York,55
2012-04-10,San Francisco,53.8
2012-04-10,Austin,69
2012-04-11,New York,49
2012-04-11,San Francisco,52.9
2012-04-11,Austin,69.2
2012-04-12,New York,51.7
2012-04-12,San Francisco,53.9
2012-04-12,Austin,74.5
2012-04-13,New York,53.1
2012-04-13,San Francisco,50.2
2012-04-13,Austin,73.4
2012-04-14,New York,55.2
2012-04-14,San Francisco,50.9
2012-04-14,Austin,76
2012-04-15,New York,62.3
2012-04-15,San Francisco,51.5
2012-04-15,Austin,74.5
2012-04-16,New York,62.9
2012-04-16,San Francisco,51.9
2012-04-16,Austin,63.6
2012-04-17,New York,69.3
2012-04-17,San Francisco,53.2
2012-04-17,Austin,67.3
2012-04-18,New York,59
2012-04-18,San Francisco,53
2012-04-18,Austin,65.1
2012-04-19,New York,54.1
2012-04-19,San Francisco,55.1
2012-04-19,Austin,67.9
2012-04-20,New York,56.5
2012-04-20,San Francisco,55.8
2012-04-20,Austin,68.9
2012-04-21,New York,58.2
2012-04-21,San Francisco,58
2012-04-21,Austin,65.1
2012-04-22,New York,52.4
2012-04-22,San Francisco,52.8
2012-04-22,Austin,65.4
2012-04-23,New York,51.6
2012-04-23,San Francisco,55.1
2012-04-23,Austin,70.1
2012-04-24,New York,49.3
2012-04-24,San Francisco,57.9
2012-04-24,Austin,67
2012-04-25,New York,52.5
2012-04-25,San Francisco,57.5
2012-04-25,Austin,75.4
2012-04-26,New York,50.5
2012-04-26,San Francisco,55.3
2012-04-26,Austin,77.5
2012-04-27,New York,51.9
2012-04-27,San Francisco,53.5
2012-04-27,Austin,77
2012-04-28,New York,47.4
2012-04-28,San Francisco,54.7
2012-04-28,Austin,77.7
2012-04-29,New York,54.1
2012-04-29,San Francisco,54
2012-04-29,Austin,77.7
2012-04-30,New York,51.9
2012-04-30,San Francisco,53.4
2012-04-30,Austin,77.7
2012-05-01,New York,57.4
2012-05-01,San Francisco,52.7
2012-05-01,Austin,77
2012-05-02,New York,53.7
2012-05-02,San Francisco,50.7
2012-05-02,Austin,77.9
2012-05-03,New York,53.1
2012-05-03,San Francisco,52.6
2012-05-03,Austin,79.1
2012-05-04,New York,57.2
2012-05-04,San Francisco,53.4
2012-05-04,Austin,80.1
2012-05-05,New York,57
2012-05-05,San Francisco,53.1
2012-05-05,Austin,82.1
2012-05-06,New York,56.6
2012-05-06,San Francisco,56.5
2012-05-06,Austin,79
2012-05-07,New York,54.6
2012-05-07,San Francisco,55.3
2012-05-07,Austin,79.8
2012-05-08,New York,57.9
2012-05-08,San Francisco,52
2012-05-08,Austin,70
2012-05-09,New York,59.2
2012-05-09,San Francisco,52.4
2012-05-09,Austin,69.8
2012-05-10,New York,61.1
2012-05-10,San Francisco,53.4
2012-05-10,Austin,71.3
2012-05-11,New York,59.7
2012-05-11,San Francisco,53.1
2012-05-11,Austin,69.4
2012-05-12,New York,64.1
2012-05-12,San Francisco,49.9
2012-05-12,Austin,72
2012-05-13,New York,65.3
2012-05-13,San Francisco,52
2012-05-13,Austin,72.4
2012-05-14,New York,64.2
2012-05-14,San Francisco,56
2012-05-14,Austin,72.5
2012-05-15,New York,62
2012-05-15,San Francisco,53
2012-05-15,Austin,67.6
2012-05-16,New York,63.8
2012-05-16,San Francisco,51
2012-05-16,Austin,69
2012-05-17,New York,64.5
2012-05-17,San Francisco,51.4
2012-05-17,Austin,72.7
2012-05-18,New York,61
2012-05-18,San Francisco,52.2
2012-05-18,Austin,73.7
2012-05-19,New York,62.6
2012-05-19,San Francisco,52.4
2012-05-19,Austin,77.5
2012-05-20,New York,66.2
2012-05-20,San Francisco,54.5
2012-05-20,Austin,75.8
2012-05-21,New York,62.7
2012-05-21,San Francisco,52.8
2012-05-21,Austin,76.9
2012-05-22,New York,63.7
2012-05-22,San Francisco,53.9
2012-05-22,Austin,78.8
2012-05-23,New York,66.4
2012-05-23,San Francisco,56.5
2012-05-23,Austin,77.7
2012-05-24,New York,64.5
2012-05-24,San Francisco,54.7
2012-05-24,Austin,80.6
2012-05-25,New York,65.4
2012-05-25,San Francisco,52.5
2012-05-25,Austin,81.4
2012-05-26,New York,69.4
2012-05-26,San Francisco,52.1
2012-05-26,Austin,82.3
2012-05-27,New York,71.9
2012-05-27,San Francisco,52.2
2012-05-27,Austin,80.3
2012-05-28,New York,74.4
2012-05-28,San Francisco,52.9
2012-05-28,Austin,80.3
2012-05-29,New York,75.9
2012-05-29,San Francisco,52.1
2012-05-29,Austin,82.2
2012-05-30,New York,72.9
2012-05-30,San Francisco,52.1
2012-05-30,Austin,81.9
2012-05-31,New York,72.5
2012-05-31,San Francisco,53.3
2012-05-31,Austin,82.4
2012-06-01,New York,67.2
2012-06-01,San Francisco,54.8
2012-06-01,Austin,77.9
2012-06-02,New York,68.3
2012-06-02,San Francisco,54
2012-06-02,Austin,81.1
2012-06-03,New York,67.7
2012-06-03,San Francisco,52.3
2012-06-03,Austin,82.2
2012-06-04,New York,61.9
2012-06-04,San Francisco,55.3
2012-06-04,Austin,81.2
2012-06-05,New York,58.3
2012-06-05,San Francisco,53.5
2012-06-05,Austin,83
2012-06-06,New York,61.7
2012-06-06,San Francisco,54.1
2012-06-06,Austin,83.2
2012-06-07,New York,66.7
2012-06-07,San Francisco,53.9
2012-06-07,Austin,82.1
2012-06-08,New York,68.7
2012-06-08,San Francisco,54.4
2012-06-08,Austin,77.5
2012-06-09,New York,72.2
2012-06-09,San Francisco,55
2012-06-09,Austin,77.9
